,0,1,2,3,4
12,12,Oct.,The Unbroken,2.80,TOHO
13,13,June,The Summit: A Chronicle of Stones,2.58,TOEI
14,14,"Nov., '08",I'd Rather Be a Shellfish,2.45,TOHO
15,14,March.,Doraemon: Shin Nobita-no Uchu Kaitakushi,2.45,TOHO
16,16,Oct.,KAIJI,2.25,TOHO
17,17,Oct.,I Give My First Love to You.,2.15,TOHO
18,18,"Dec., '08",K-20: Legend of the Mask,2.00,TOHO
19,19,March,Drop,1.95,KADOKAWAEIGA
20,20,Jan.,PANDEMIC,1.91,TOHO
21,21,August,MASKED RIDER DECADE THE MOVIE SHINKENGERS THE MOVIE,1.90,TOEI
22,22,Sep.,BALLAD,1.81,TOHO
23,23,"Dec., '08",252: Signal of Life,1.70,WB
24,24,August,SUMMER WARS,1.65,WB
25,25,May,GOEMON,1.43,SHOCHIKU/WB
26,26,Nov.,No More Cry!!,1.35,TOHO
27,27,"Dec., '08",Akai ito,1.15,SHOCHIKU
28,28,Sep.,KAMUI,1.12,SHOCHIKU
29,29,"Dec., '08",Major,1.05,TOHO
30,30,Feb.,The Shonen Merikensack - Brass Knucle Kids,1.02,TOEI
31,30,August,Naruto Shippuden the Movie 3,1.02,TOHO
32,32,March,PRETTY CURE ALL STARS DX  -Calling All Friends☆The Miracle Union-,1.01,TOEI
33,32,Nov.,Zero Focus,1.01,TOHO
34,34,April,Crayon Shin-chan: Otakebe! Kasukabe yasei-okoku,1.00,TOHO
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,Karigurashi no Arrietty,9.25,TOHO
2,2,Sep.,UMIZARU 3 The Last Message,8.04,TOHO
3,3,July,Bayside Shakedown 3 -Set the Guys Loose!,7.31,TOHO
4,4,"Dec., '09",ONE PIECE film STRONG WORLD,4.80,TOEI
5,5,July,Pokémon: Zoroark: Master of Illusions,4.16,TOHO
6,6,"Dec., '09",Nodame Cantabile The Movie I,4.10,TOHO
7,7,June,CONFESSIONS,3.85,TOHO
8,8,April,Nodame Cantabile The Movie II,3.72,TOHO
9,9,Oct.,SP THE MOTION PICTURE I,3.63,TOHO
10,10,April,DETECTIVE CONAN : The Lost Ship in The Sky,3.20,TOHO
11,11,March,Doraemon the Movie: Nobita's Mermaid Legend,3.16,TOHO
12,12,August,HANAMIZUKI~May your love bloom for a hundred years~,2.83,TOHO
13,13,March,Liar Game,2.36,TOHO
14,14,Oct.,THE LADY SHOGUN AND HER MEN,2.32,SHOCHIKU/ASMIK ACE
15,15,Jan.,About Her Brother,2.10,SHOCHIKU
16,16,Sep.,VILLAIN,1.98,TOHO
17,17,May,TRICK The Movie Rsychic Battle Royale,1.86,TOHO
18,18,Sep.,BECK,1.76,SHOCHIKU
19,19,Sep.,Thirteen Assassins,1.60,TOHO
20,20,"Dec., '09",KAMEN RIDER W & MASKED RIDER DECADE,1.54,TOEI
21,21,Sep.,From Me to You,1.53,TOHO
22,22,August,KAMEN RIDER W THE MOVIE/GOSEIGER THE MOVIE,1.47,TOEI
23,23,May,MASKED RIDER DEN-O THE MOVIE TRILOGY,1.31,TOEI
24,24,April,Crayon Shin-chan Chou Jikuu! Arashi wo Yobu Ora no Hanayome,1.25,TOHO
25,25,Oct.,THE INCITE MILL - 7 Day Death Game -,1.22,WB
26,26,Jan.,GOLDEN SLUMBER,1.15,TOHO
27,26,March,PRETTY CURE ALL STARS DX2: Light of Hope ☆ Protect the Rainbow Jewels!,1.15,TOEI
28,28,April,GINTAMA the Movie,1.07,WB
29,29,July,NARUTO SHIPPUDEN THE MOVIE THE LOST TOWER,1.03,TOHO
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,FROM UP ON POPPY HILL,4.46,TOHO
2,2,July,"Pokémon the Movie: White Victini and Zekrom, Black Victini and Reshiram",4.33,TOHO
3,3,Oct.,A Ghost of a Chance,4.28,TOHO
4,4,"Dec.,10",SPACE BATTLESHIP YAMATO,4.10,TOHO
5,5,Jan.,GANTZ,3.45,TOHO
6,6,March,SP THE MOTION PICTURE II,3.33,TOHO
7,7,"Dec.,10",Partners: The Movie Ⅱ,3.18,TOEI
8,8,April,DETECTIVE CONAN: Quarter of Silence,3.15,TOHO
9,9,April,GANTZ PERFECT ANSWER,2.82,TOHO
10,10,March,Doraemon the Movie: Nobita and the Steel Troops: The New Age,2.46,TOHO
11,11,Sep.,UNFAIR the answer,2.34,TOHO
12,12,Sep.,LOVE STRIKES!,2.22,TOHO
13,13,August,IN HIS CHART,1.89,TOHO
14,14,June,ANDALUCIA,1.88,TOHO
15,15,"Dec.,10",Gekijoban Inazuma irebun Saikyo gundan oga shurai,1.77,TOHO
16,16,August,KAMEN RIDER OOO THE MOVIE/ GOKAIGEERS THE MOVIE,1.76,TOEI
17,17,May,PEAK The Rescuers-,1.63,TOHO
18,18,May,PRINCESS TOYOTOMI,1.62,TOHO
19,19,Nov.,KAIJI 2,1.61,TOHO
20,20,Feb.,"OBA, THE LAST SAMURAI",1.57,TOHO
21,21,"Dec.,10",Abacus And Sword,1.50,ASMIKACE/  SHOCHIKU
22,22,"Dec.,10",Norwegian Wood,1.40,TOHO
23,23,June,Paradise Kiss,1.39,WB
24,24,"Dec.,10",KAMENRIDER OOO & W FEATURING SKULL,1.38,TOEI
25,25,April,LET'S GO KAMEN RIDERS,1.33,TOEI
26,26,April,REBIRTH,1.24,SHOCHIKU
27,27,Jan.,1778 Stories of Me and My Wife,1.23,TOHO
28,28,Sep.,PHONE CALL TO THE BAR,1.22,TOEI
29,29,April,Crayon Shin-chan Arashi wo yobu Ougon no Spy Daisakusen,1.20,TOHO
30,30,April,Hankyu Railway ― A 15-minute Miracle,1.14,TOHO
31,31,Feb.,Tomorrow's Joe,1.10,TOHO
32,32,March,Pretty Cure All Stars DX3 - Rainbow Flower to the Future,1.02,TOEI
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,UMIZARU 4 Brave Hearts,7.33,TOHO
2,2,April,THERMAE ROMAE,5.98,TOHO
3,3,September,Bayside Shakedown 4 -The Final,5.97,TOHO
4,4,December,Evangelion: 3.0 You Can (Not) Redo.,5.30,T-JOY/ Khara
5,5,July,Wolf Children,4.22,TOHO
6,6,March,Doraemon the Movie: Nobita and the Last Haven -Animal Adventure-,3.62,TOHO
7,7,July,Pokémon the Movie: Kyurem vs. The Sword of Justice,3.61,TOHO
8,8,June,ALWAYS -Sunset on Third Street- 3,3.44,TOHO
9,9,April,Detective Conan: The Eleventh Striker,3.29,TOHO
10,10,Dec. 2011,Kaibutsu-kun: The Movie,3.13,TOHO
11,11,August,Rurouni Kenshin,3.01,WB
12,12,December,The Floating Castle,2.84,TOHO/ASMIK ACE
13,13,March,We Were There: First Love,2.52,TOHO
14,14,April,SPEC ~ heaven,2.39,TOHO
15,14,August,DEAREST,2.39,TOHO
16,16,December,Lesson of the Evil,2.34,TOHO
17,17,July,Helter Skelter,2.15,ASMIK ACE
18,18,March,LIAR GAME -REBORN-,2.10,TOHO
19,19,Dec. 2011,K-ON! MOVIE,1.90,SHOCHIKU
20,20,May,HOTARU THE MOVIE: IT'S ONLY A LITTLE LIGHT IN MY LIFE,1.88,TOHO
21,21,April,We Were There: True Love,1.72,TOHO
22,22,June,The Wings of the Kirin,1.68,TOHO
23,23,October,Until the Break of Dawn,1.66,TOHO
24,24,May,SPACE BROTHERS,1.57,TOHO
25,25,April,KAMEN RIDER × SUPER SENTAI: SUPER HERO TAISEN,1.56,TOEI
26,26,Dec. 2011,ADMIRAL YAMAMOTO,1.53,TOEI
27,27,Dec. 2011,KAMEN RIDER FOURZE AND 000 MOVIE TAISEN MEGA MAX,1.51,TOEI
28,28,Dec. 2011,friends NAKI ON THE MONSTER ISLAND,1.49,TOHO
29,29,Dec. 2011,Tale of Genji -A Thousand Year of Enigma-,1.48,TOHO
30,29,July,ROAD TO NINJA -NARUTO THE MOVIE-,1.48,TOHO
31,31,October,OUTRAGE BEYOND,1.45,WB/OFFICE KITANO
32,32,December,A Chorus of Angeles,1.40,TOEI
33,33,May,SADAKO 3D,1.35,KADOKAWA
34,34,April,Chronicle of My Mother,1.33,SHOCHIKU
35,35,August,"KAMEN RIDER FOURZE THE MOVIE: EVERYONE, SPACE IS HERE! GO-BUSTERS THE MOVIE",1.27,TOEI
36,36,July,EIGHT RANGERS,1.20,TOHO
37,37,June,ROBO-G,1.16,TOHO
38,38,Dec. 2011,INAZUMA ELEVEN GO THE MOVIE,1.15,TOHO
39,39,March,Pretty Cure All Stars New Stage: Echo of Heart,1.02,TOEI
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,July,The Wind Rises,12.02,TOHO
2,2,Dec.2012,ONE PIECE FILM Z,6.87,TOEI
3,3,March,Doraemon the Movie: Nobita in the Secret Gadgets Museum,3.98,TOHO
4,4,April,Detective Conan: Private Eye in the Distant Sea,3.63,TOHO
5,5,June,Midsummer's Equation,3.31,TOHO
6,6,August,The After-Dinner Mysteries,3.25,TOHO
7,7,September,"Like Father, Like Son",3.20,GAGA
8,8,July,Pokémon the Movie: Genesect and the Legend Awakened / Pokémon: Eevee and Friends,3.17,TOHO
9,9,March,Dragonball Z The Battle of Gods,2.99,TOEI/FOX
10,10,Nobember,The Kiyosu Conference,2.96,TOHO
11,11,Nobember,SPEC~CLOSE~INCARNATION (SPEC～結～漸ノ篇),2.75,TOHO
12,12,March,PLATINUM DATA,2.64,TOHO
13,13,September,The Apology King,2.18,TOHO
14,14,January,Strawberry Night,2.15,TOHO
15,15,October,Puella Magi Madoka Magica The Movie -Rebellion-,2.08,WB
16,16,Nobember,SPEC~CLOSE~REINCARNATION (SPEC～結～爻ノ篇),2.06,TOHO
17,17,September,ATARU THE FIRST LOVE & THE LAST KILL,1.85,TOHO
18,18,April,Shield of Straw,1.83,WB
19,19,January,Tokyo Family,1.82,SHOCHIKU
20,20,October,GIRL IN THE SUNNY PLACE,1.79,TOHO/  ASMIC ACE
21,21,Dec.2012,Love for Beginners,1.77,TOHO
22,22,April,LIBRARY WARS,1.72,TOHO
23,23,July,Gekijoban Gintama kanketsuhen yorozuya yo eien nare,1.70,WB
24,24,August,A Boy Called H,1.56,TOHO
25,25,March,AIBOU: X-DAY,1.34,TOEI
26,26,April,Crayon shin-chan: Bakauma B kyu gourmet survival!!,1.30,TOHO
27,27,February,The Brain Man,1.27,TOHO
28,28,August,Kamen Rider Wizard in Magicland/Kyoryuger The Movie,1.23,TOEI
29,29,January,HUNTER×HUNTER THE MOVIE: Phantom Rouge,1.21,TOHO
30,30,Dec.2012,Kamen Rider x Kamen Rider Wizard & Fourze Movie Taisen Ultimatum,1.19,TOHO
31,31,Dec.2012,HUMANOID MONSTER BEM,1.17,TOHO
32,32,August,anohana,1.04,ANIPLEX
33,33,March,Pretty Cure All Stars New Stage 2: Friends of the Heart,1.03,TOEI
34,34,May,The Complex,1.02,SHOCHIKU
35,34,June,FRUITS OF FAITH,1.02,TOHO
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,Dec.2013,THE ETERNAL ZERO,8.76,TOHO
2,2,August,STAND BY ME DORAEMON,8.38,TOHO
3,3,August,Rurouni Kenshin: Kyoto Inferno,5.22,WB
4,4,April,THERMAE ROMAE II,4.42,TOHO
5,5,September,Rurouni Kenshin: The Legend Ends,4.35,WB
6,6,Dec.2013,LUPIN THE 3rd VS. DETECTIVE CONAN THE MOVIE,4.26,TOHO
7,7,April,Detective Conan: Dimensional Sniper,4.11,TOHO
8,8,March,Doraemon the Movie: Nobita in the New Haunts of Evil - Peko and the Five Explorers -,3.58,TOHO
9,9,July,When Marnie Was There,3.53,TOHO
10,10,July,"Pokemon the movie XY hakai no mayu to Diancie/ Pikachu, What's This Key?",2.91,TOHO
11,11,Nov.2013,The Tale of The Princess Kaguya,2.47,TOHO
12,11,August,HOT ROAD,2.47,SHOCHIKU
13,13,August,LUPIN THE THIRD,2.45,TOHO
14,14,February,THE MOLE SONG: -Undercover Agent REIJI-,2.19,TOHO
15,15,April,AIBOU: THE MOVIE 3,2.12,TOEI
16,16,April,Crayon Shin-chan: gachinko gyakushu no robotochan,1.83,TOHO
17,17,January,Trick The Movie: Last Stage,1.80,TOHO
18,18,Dec.2013,The Liar and His Lover,1.78,TOHO
19,19,June,Samurai Hustle,1.55,SHOCHIKU
20,20,February,I Just Wanna Hug You,1.51,TOHO
21,21,January,The Little House,1.26,SHOCHIKU
22,21,October,CAPE NOSTALGIA,1.26,TOEI
23,23,November,As the Gods Will,1.22,TOHO
24,24,May,BOLT FROM THE BLUE,1.18,TOHO
25,25,October,Kinkyori Renai,1.17,TOHO
26,26,April,CROWS:EXPLODE,1.14,TOHO
27,27,October,A Samurai Chronicle,1.12,TOHO
28,28,July,"Say ""I Love You""",1.10,SHOCHIKU
29,29,Dec.2013,KAMEN RIDER GAIM AND KAMEN RIDER WIZARD THE MOVIE,1.01,TOEI
30,30,March,HEISEI VS SHOWA KAMEN RIDER TAISEN FEAT. SUPER SENTAI,1.01,TOEI
31,31,March,The Snow White Murder Case,1.00,SHOCHIKU
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,Dec.2014,"Yo-Kai Watch the Movie 2: King Enma and the 5 Stories, Nyan!",7.80,TOHO
2,2,July,THE BOY AND THE BEAST,5.80,TOHO
3,3,July,HERO,4.67,TOHO
4,4,April,DETECTIVE CONAN: SUNFLOWERS OF INFERNO,4.48,TOHO
5,5,March,Doreamon the Movie: Nobita and the Space Heroes,3.93,TOHO
6,6,April,DRAGON BALL Z Resurrection 'F',3.74,TOEI
7,7,August,ATTACK ON TITAN Part 1,3.25,TOHO
8,8,May,Flying Colors: How a Teen Girl Went from Academic Absurdity to an Elite University in One Amazing Year,2.84,TOHO
9,8,June,Love Live! The School Idol Movie,2.84,SHOCHIKU
10,10,March,ASSASSINATION CLASSROOM,2.77,TOHO
