,Release Date,Title,Production Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
104,"Jan 21, 2011",Evangerion shin gekijôban: Ha,,,"$133,640","$133,640"
105,"Dec 24, 2010",Samâ uôzu,,"$1,412","$78,182","$843,417"
106,"Aug 13, 2010",Gedo Senki (Tales from Eart…,,"$20,614","$48,658","$68,048,658"
107,"Jul 3, 2009",Evangerion shin gekijôban: Jo,,,"$107,797","$9,142,563"
108,"Feb 10, 2009",Desu Noto 2,,,,"$47,000,000"
109,Unknown,Desu Noto 3: L: Change the …,,,,"$22,730,665"
110,Unknown,One Piece: Episode of Chopp…,,,,"$1,574,571"
111,"Sep 16, 2008",Desu Noto,,,,"$21,497,802"
112,"Mar 11, 2008",Appurushido Ex Machina,,,,
113,"Feb 7, 2008",One Piece: Episode of Alaba…,,"$5,791","$6,587","$6,587"
114,Unknown,Eiga Yes! PreCure 5: Kagami…,,,,"$3,319,368"
115,Unknown,Pokemon 2007: Diamond & Pearl,,,,"$39,739,776"
116,"Dec 31, 2006",Gekijô-ban poketto monsutâ:…,,,,"$787,301"
117,"Dec 31, 2006",Detective Conan: Jolly Roge…,,,,"$19,035,565"
118,"Dec 31, 2006",Gekijô-ban Naruto: Daikôfun…,,,,"$83,110"
119,Unknown,Kureyon Shinchan: Arashi o …,,,,"$11,777,171"
120,"Sep 12, 2006",Dragon Ball Z - Movie 13: W…,,,,
121,"Sep 12, 2006",Fullmetal Alchemist The Mov…,,,,
122,Unknown,Gekijōban Poketto Monsutā A…,,,,"$37,000,000"
123,"Jun 10, 2005",Hauru no ugoku shiro,"$24,000,000","$427,987","$4,710,455","$237,814,327"
124,"Mar 18, 2005",Steamboy,"$20,000,000","$136,148","$468,867","$10,468,867"
125,"Jan 14, 2005",Appurushîdo,,"$66,869","$129,135","$141,928"
126,"Sep 17, 2004",Ghost in the Shell 2: Innoc…,,"$317,722","$1,043,896","$1,043,896"
127,"Aug 13, 2004",Yu-Gi-Oh,"$20,000,000","$9,485,494","$19,762,690","$28,715,003"
128,"Jan 16, 2004",Tokyo Godfathers,,"$29,259","$366,566","$847,106"
129,"May 16, 2003",Pokemon Heroes,,"$260,372","$744,928","$744,928"
130,"Oct 11, 2002",Pokemon 4Ever,,"$717,061","$1,732,301","$28,032,301"
131,"Sep 20, 2002",Sen to Chihiro no Kamikakushi,"$19,000,000","$449,839","$10,049,886","$383,885,156"
132,"Jan 1, 2002",Metropolis,"$15,000,000","$84,660","$673,414","$1,405,032"
133,"Apr 27, 2001",Akira,"$8,000,000","$19,585","$19,585","$1,982,334"
134,"Apr 6, 2001",Pokemon 3: The Movie,"$3,000,000","$8,240,752","$17,052,128","$68,452,128"
135,"Oct 6, 2000",Digimon: The Movie,"$5,000,000","$4,233,304","$9,628,751","$16,628,751"
136,"Jul 21, 2000",Pokemon 2000,"$30,000,000","$19,575,608","$43,746,923","$133,946,923"
137,"Apr 25, 2000",Lupin the Third: The Castle…,,,,"$15,964"
138,"Feb 8, 2000",Gekijô-ban — Bishôjo senshi…,,,,
139,"Nov 10, 1999",Pokemon: The First Movie,"$30,000,000","$31,036,678","$85,744,662","$163,644,662"
140,"Oct 29, 1999",Mononoke-hime,"$20,000,000","$144,446","$2,374,107","$150,345,863"
141,"Aug 20, 1999",Pâfekuto burû,,"$9,600","$763,518","$768,050"
142,"Mar 29, 1996",Kôkaku kidôtai,,,"$816,748","$864,973"
143,"Dec 20, 1990",Kiki's Delivery Service,,,,"$444,545"
144,"Jun 13, 1985",Kaze no Tani no Naushika,,,,"$6,429,471"
